"region","band","flux","flux_err","n_eff","lambda","n_pix"
1,"0.9",51.3138664891869,0.123547561691844,106,0.9,106
1,"1.15",57.4866095623565,0.123547561691844,106,1.15,106
1,"1.5",62.6675311821177,0.123547561691844,106,1.5,106
1,"1.82",64.4578340945307,0.123547561691844,106,1.82,106
1,"2",62.8975430053591,0.123547561691844,106,2,106
1,"2.77",55.2894351370747,0.123547561691844,106,2.77,106
1,"3.56",51.7009339085967,0.123547561691844,106,3.56,106
1,"4.1",48.4552808397312,0.123547561691844,106,4.1,106
1,"4.44",45.9668846694456,0.123547561691844,106,4.44,106
2,"0.9",55.1729574979492,0.116344316577992,94,0.9,94
2,"1.15",61.9444307274603,0.116344316577992,94,1.15,94
2,"1.5",67.8044006585358,0.116344316577992,94,1.5,94
2,"1.82",70.3849439001706,0.116344316577992,94,1.82,94
2,"2",68.3795480994519,0.116344316577992,94,2,94
2,"2.77",60.5319543719199,0.116344316577992,94,2.77,94
2,"3.56",56.220531265986,0.116344316577992,94,3.56,94
2,"4.1",51.9960748071931,0.116344316577992,94,4.1,94
2,"4.44",49.0903690860513,0.116344316577992,94,4.44,94
3,"0.9",21.4498762334408,0.0657267069006199,30,0.9,30
3,"1.15",24.7249296292029,0.0657267069006199,30,1.15,30
3,"1.5",27.4980296615626,0.0657267069006199,30,1.5,30
3,"1.82",28.7992101112254,0.0657267069006199,30,1.82,30
3,"2",28.1103452891211,0.0657267069006199,30,2,30
3,"2.77",24.6616581588341,0.0657267069006199,30,2.77,30
3,"3.56",22.6263945266792,0.0657267069006199,30,3.56,30
3,"4.1",20.7112636347469,0.0657267069006199,30,4.1,30
3,"4.44",19.6232634500949,0.0657267069006199,30,4.44,30
4,"0.9",20.7285564948422,0.0623538290724796,27,0.9,27
4,"1.15",21.4754708718411,0.0623538290724796,27,1.15,27
4,"1.5",21.8156098073187,0.0623538290724796,27,1.5,27
4,"1.82",21.6112960100692,0.0623538290724796,27,1.82,27
4,"2",21.3199692040748,0.0623538290724796,27,2,27
4,"2.77",19.349973020595,0.0623538290724796,27,2.77,27
4,"3.56",19.9799939829757,0.0623538290724796,27,3.56,27
4,"4.1",18.58383668963,0.0623538290724796,27,4.1,27
4,"4.44",17.4737809702885,0.0623538290724796,27,4.44,27
5,"0.9",10.5292258525636,0.0432666153055679,13,0.9,13
5,"1.15",12.3528835448779,0.0432666153055679,13,1.15,13
5,"1.5",14.154339898578,0.0432666153055679,13,1.5,13
5,"1.82",15.1228282585456,0.0432666153055679,13,1.82,13
5,"2",14.6678916197324,0.0432666153055679,13,2,13
5,"2.77",12.8871517235186,0.0432666153055679,13,2.77,13
5,"3.56",11.6143103276427,0.0432666153055679,13,3.56,13
5,"4.1",10.732032907772,0.0432666153055679,13,4.1,13
5,"4.44",9.94898051370148,0.0432666153055679,13,4.44,13
6,"0.9",12.4365367226032,0.0448998886412873,14,0.9,14
6,"1.15",15.0385314939805,0.0448998886412873,14,1.15,14
6,"1.5",17.7746891461378,0.0448998886412873,14,1.5,14
6,"1.82",19.142525997283,0.0448998886412873,14,1.82,14
6,"2",18.8620194332454,0.0448998886412873,14,2,14
6,"2.77",16.2643435512903,0.0448998886412873,14,2.77,14
6,"3.56",14.4676655843494,0.0448998886412873,14,3.56,14
6,"4.1",13.1585928271025,0.0448998886412873,14,4.1,14
6,"4.44",12.2074870123217,0.0448998886412873,14,4.44,14
